Cell,normalized_dimapd,mean_ploidy,ploidy_confidence,is_high_dimapd,is_noisy,coverage_per_1Mbp
296,1.25396486543,1.61856517948,12,0,0,484
297,1.06029388426,1.71664221055,9,0,0,310
298,1.16573743489,1.93324166673,2,0,1,73
299,1.17726687631,1.81721908758,1,0,1,96
300,1.04084636382,1.80279992912,19,0,0,195
301,1.16181930625,1.61117689183,14,0,0,319
302,1.33735343262,2.43452545582,8,0,0,279
303,1.22660083012,1.51702200094,6,0,0,439
304,1.22577989983,1.58344204645,11,0,0,272
305,1.39345263451,1.49967709657,7,0,0,528
306,0.956247395633,1.7673968524,7,0,0,259
307,0.99514522336,1.79465450729,12,0,0,339
308,0.926181445975,0.95635744922199994,4,0,0,417
309,0.992265821026,0.982923976608,6,0,0,317
310,1.06302818247,1.78157318344,10,0,0,176
311,1.14372673993,1.72771174902,9,0,0,497
312,1.24182726511,2.2185678424,11,0,0,245
313,1.42562159298,2.46466237988,-3,0,0,432
314,1.32753693625,2.2999985813,9,0,0,315
315,1.04142672105,1.74798028159,11,0,0,451
316,1.0978226874,1.78804104994,10,0,0,404
317,1.21645825854,1.50028358738,13,0,0,222
318,1.21705188058,2.23732888857,9,0,0,280
319,1.21008877362,6.16170236897,1,0,1,96
320,0.933003235343,1.87746609671,10,0,0,274
321,1.01375469219,1.80946575274,7,0,0,243
322,1.23772543945,2.14020997115,11,0,0,392
323,1.27390117711,1.53185560212,9,0,0,409
324,1.26337621843,2.25728685248,8,0,0,142
325,1.07157683507,1.69854468381,11,0,0,317
326,1.02516022491,1.81899797894,12,0,0,368
327,1.32851421149,2.31477081723,11,0,0,317
328,0.938055264026,1.96496973306,17,0,0,241
329,1.19285717253,1.58007881718,6,0,0,167
330,0.862072318853,1.96710064707,15,0,0,272
331,1.25958789684,1.58159437862,13,0,0,327
332,1.2285673002,2.50204897693,4,0,0,242
333,1.28009808885,2.42533275658,3,0,0,274
334,1.2637495606,2.22491172842,10,0,0,191
335,1.23816201371,2.18217793695,14,0,0,418
336,1.10935773317,1.69505753565,12,0,0,162
337,1.24888250662,1.39394648569,8,0,0,336
338,1.15472257485,1.68362507178,16,0,0,263
339,1.20059642113,1.61446936446,11,0,0,353
340,0.992805545561,1.8353593668,7,0,0,420
341,0.776830781033,1.9598834365,11,0,0,501
342,1.27340726026,1.83018145733,-4,0,1,107
343,1.1147219073,1.70423573789,10,0,0,316
344,1.30396433295,2.7078944195,10,0,0,334
345,1.18869223288,1.54627206513,8,0,0,447
346,1.11928492923,1.6930284645,10,0,0,128
347,1.07981748312,1.69205732398,13,0,0,308
348,1.15583160904,1.65147325733,10,0,0,325
349,1.04955964388,1.75702782779,15,0,0,289
350,1.18051498486,1.65867375887,11,0,0,254
351,1.28828947248,2.25094474735,12,0,0,217
352,1.32922213274,1.47187449022,9,0,0,350
353,1.35722083742,2.37710623879,-4,0,1,198
354,1.14073639069,1.71609610887,16,0,0,231
355,1.20817240087,1.53729607036,8,0,0,397
356,1.34530373405,2.46246429306,11,0,0,209
357,1.12686006925,1.71792181274,11,0,0,393
358,1.27256052352,1.50829195631,15,0,0,298
359,1.23357332005,2.87141449025,4,0,0,290
360,1.20605017793,2.20202449813,11,0,0,171
361,1.2605068154,2.78913402691,4,0,0,291
362,0.941918711605,1.84773362068,6,0,0,449
363,1.11236291281,1.7034179549,11,0,0,514
364,1.04568236192,1.76253367361,4,0,0,283
365,0.824588307378,1.96055383437,5,0,0,416
366,1.21397922823,6.45643836005,1,0,1,200
367,0.938438745118,3.62101502187,1,0,1,238
368,1.19217942879,2.23606557377,12,0,0,424
369,0.999038628669,1.99965269656,4,0,0,193
370,1.08661637312,1.76630400113,10,0,0,168
371,0.84905315884200006,1.96049991848,3,0,0,286
372,1.31632553522,2.23228690007,9,0,0,379
373,1.41295878276,2.43039106462,6,0,0,355
374,1.0458234332,1.74104054437,13,0,0,182
375,1.2972603606,2.66884019924,11,0,0,408
376,0.888776835812,1.8939084567,10,0,0,469
377,1.21237237883,2.15124686335,11,0,0,181
378,1.17888509571,1.7034422139,13,0,0,303
379,0.943830210109,0.94671053098,1,0,1,425
380,1.29139736908,2.4812725056,3,0,0,160
381,1.1039357435,1.64449721759,14,0,0,124
382,1.45905283672,2.27254534616,5,0,0,506
383,1.1426300874,1.72024168327,7,0,0,385
384,1.10169099992,1.72044909712,9,0,0,344
385,1.18708804155,1.63768671279,8,0,0,411
386,1.26969697842,2.29148020227,11,0,0,206
387,1.30340400393,1.59618957131,13,0,0,384
388,1.27493638802,1.52054007673,11,0,0,352
389,1.1769472158,2.11521694442,10,0,0,123
390,1.16936504078,1.67590432359,13,0,0,372
391,1.09122822432,1.71656825287,14,0,0,225
392,1.09856300693,1.72234980579,9,0,0,120
393,1.23712688956,3.65725120499,1,0,1,99
394,1.10841100771,1.99123310583,10,0,0,58
395,1.00797143293,1.81286520679,9,0,0,304
396,0.960138584063,1.9765259547,11,0,0,154
397,1.12933176985,1.59721277078,9,0,0,218
398,1.19294842234,2.45857344362,12,0,0,186
399,1.24928452975,1.49986879153,8,0,0,262
400,1.15795146967,1.70945629829,13,0,0,203
401,1.27588274584,2.24761121665,7,0,0,180
402,1.30561420103,2.35825518674,9,0,0,176
403,1.04953645955,2.02287419547,5,0,0,245
404,1.13610766809,1.69150045026,7,0,0,469
405,1.21374014898,2.23406789756,15,0,0,232
406,1.2738372502,2.26275999148,12,0,0,531
407,1.29574894896,1.40519265001,9,0,0,350
408,1.2086131556,1.54353545166,13,0,0,293
409,1.01514120124,1.79624271308,9,0,0,367
410,1.31156836254,2.37712855705,4,0,0,194
411,1.08595364783,1.72990547507,9,0,0,253
412,1.22296821016,1.5851419979,11,0,0,389
413,1.293191931,2.30515396669,8,0,0,236
414,1.34505340405,1.49567944152,8,0,0,448
415,1.03682039231,1.72589347116,9,0,0,356
416,0.932656909354,1.91074757412,6,0,0,168
417,0.854500854716,1.96025518341,3,0,0,241
418,0.750252111078,1.9625407628,2,0,1,552
419,1.24513852105,2.32446646395,12,0,0,154
420,1.21322306085,2.12800771336,8,0,0,299
421,1.30632165706,2.24496525316,13,0,0,252
422,1.39605047352,2.45959621048,9,0,0,377
423,0.922758555725,1.87266451192,7,0,0,328
424,1.1384031618,1.68633610847,10,0,0,507
425,1.16603564448,1.57671717566,15,0,0,245
426,0.85491049225,1.95928942574,4,0,0,285
427,0.888442194965,1.98085032495,5,0,0,190
428,0.99821396415600006,1.87899498057,11,0,0,487
429,0.998988272371,1.81042980024,9,0,0,535
430,1.14964970308,1.65352879462,14,0,0,211
431,1.2180354642,2.18824622104,12,0,0,233
432,1.19883602838,2.13730050127,10,0,0,301
433,1.26215587954,1.45306307648,-4,0,1,184
434,1.32125257384,1.56067928438,11,0,0,547
